trend,season,episode,title,year,totalvotes,averagerating
3,1,1,The Good Son,1993,"1,084",8.6
1,1,2,Space Quest,1993,789,8.1
1,1,3,Dinner at Eight,1993,809,8.2
2,1,4,I Hate Frasier Crane,1993,747,7.9
2,1,5,Here's Looking at You,1993,719,7.9
2,1,6,The Crucible,1993,700,7.7
1,1,7,Call Me Irresponsible,1993,699,7.9
1,1,8,Beloved Infidel,1993,686,8.1
1,1,9,Selling Out,1993,672,8
1,1,10,Oops,1993,655,7.9
1,1,11,Death Becomes Him,1993,644,7.7
1,1,12,Miracle on Third or Fourth Street,1993,787,8.5
1,1,13,Guess Who's Coming to Breakfast,1994,665,8
1,1,14,Can't Buy Me Love,1994,658,7.7
1,1,15,You Can't Tell a Crook by His Cover,1994,647,7.8
2,1,16,The Show Where Lilith Comes Back,1994,735,8.4
2,1,17,A Mid-Winter Night's Dream,1994,751,8.6
1,1,18,And the Whimper Is...,1994,619,7.8
1,1,19,Give Him the Chair!,1994,664,8.1
1,1,20,Fortysomething,1994,629,7.6
1,1,21,Travels with Martin,1994,800,8.8
1,1,22,"Author, Author",1994,706,8.3
-,1,23,Frasier Crane's Day Off,1994,770,8.5
-,1,24,My Coffee with Niles,1994,812,8.8
-,2,1,Slow Tango in South Seattle,1994,648,7.8
-,2,2,The Unkindest Cut of All,1994,587,7.7
-,2,3,The Matchmaker,1994,"1,092",9.3
-,2,4,Flour Child,1994,674,8.2
-,2,5,"Duke's, We Hardly Knew Ye",1994,569,7.7
1,2,6,The Botched Language of Cranes,1994,599,8.1
-,2,7,The Candidate,1994,683,8.3
-,2,8,Adventures in Paradise: Part 1,1994,592,7.9
-,2,9,Adventures in Paradise: Part 2,1994,617,8.1
1,2,10,Burying a Grudge,1994,544,7.6
1,2,11,Seat of Power,1994,649,8.3
1,2,12,Roz in the Doghouse,1995,541,7.9
-,2,13,Retirement Is Murder,1995,615,8.3
-,2,14,"Fool Me Once, Shame on You, Fool Me Twice...",1995,540,7.7
-,2,15,You Scratch My Book...,1995,575,7.9
-,2,16,The Show Where Sam Shows Up,1995,623,8
-,2,17,Daphne's Room,1995,745,8.9
-,2,18,The Club,1995,554,8.1
-,2,19,Someone to Watch Over Me,1995,565,8.1
1,2,20,Breaking the Ice,1995,624,8.3
1,2,21,An Affair to Forget,1995,771,8.9
-,2,22,Agents in America: Part 3,1995,630,8.4
-,2,23,The Innkeepers,1995,885,9
-,2,24,Dark Victory,1995,609,8.3
1,3,1,She's the Boss,1995,643,8.1
1,3,2,Shrink Rap,1995,557,8.1
1,3,3,Martin Does It His Way,1995,589,7.9
1,3,4,Leapin' Lizards,1995,530,7.6
2,3,5,Kisses Sweeter Than Wine,1995,529,8
2,3,6,Sleeping with the Enemy,1995,572,8.1
3,3,7,The Adventures of Bad Boy and Dirty Girl,1995,648,8.4
1,3,8,The Last Time I Saw Maris,1995,572,8.2
3,3,9,Frasier Grinch,1995,577,8
1,3,10,It's Hard to Say Goodbye If You Won't Leave,1996,497,7.4
1,3,11,The Friend,1996,540,7.1
1,3,12,Come Lie with Me,1996,509,7.6
3,3,13,Moon Dance,1996,916,9.2
1,3,14,The Show Where Diane Comes Back,1996,579,7.9
1,3,15,A Word to the Wiseguy,1996,551,8
2,3,16,Look Before You Leap,1996,619,8.3
1,3,17,High Crane Drifter,1996,640,8.5
2,3,18,Chess Pains,1996,604,8.3
1,3,19,Crane vs. Crane,1996,522,7.8
1,3,20,Police Story,1996,491,7.7
2,3,21,"Where There's Smoke, There's Fired",1996,577,8
2,3,22,Frasier Loves Roz,1996,502,7.8
2,3,23,The Focus Group,1996,537,8
3,3,24,You Can Go Home Again,1996,564,8.3
5,4,1,The Two Mrs. Cranes,1996,966,9.1
2,4,2,Love Bites Dog,1996,534,8
2,4,3,The Impossible Dream,1996,602,8.2
2,4,4,A Crane's Critique,1996,530,8
1,4,5,Head Game,1996,596,8.3
1,4,6,Mixed Doubles,1996,712,8.9
2,4,7,A Lilith Thanksgiving,1996,618,8.3
2,4,8,Our Father Whose Art Ain't Heaven,1996,531,7.8
1,4,9,"Dad Loves Sherry, the Boys Just Whine",1997,512,7.9
1,4,10,Liar! Liar!,1997,487,7.5
1,4,11,Three Days of the Condo,1997,511,8
1,4,12,Death and the Dog,1997,604,8.3
2,4,13,Four for the Seesaw,1997,584,8.3
1,4,14,To Kill a Talking Bird,1997,656,8.7
1,4,15,Roz's Krantz & Gouldenstein Are Dead,1997,566,8.1
1,4,16,The Unnatural,1997,479,7.7
1,4,17,Roz's Turn,1997,498,7.8
2,4,18,Ham Radio,1997,"1,268",9.5
2,4,19,Three Dates and a Breakup,1997,581,8.3
1,4,20,Daphne Hates Sherry,1997,592,8.6
3,4,21,Are You Being Served?,1997,595,8.6
3,4,22,Ask Me No Questions,1997,468,7.5
4,4,23,Odd Man Out,1997,499,7.9
2,5,1,Frasier's Imaginary Friend,1997,669,8.6
1,5,2,The Gift Horse,1997,575,8.4
1,5,3,Halloween,1997,804,9.1
1,5,4,The Kid,1997,519,7.9
1,5,5,The 1000th Show,1997,518,7.8
1,5,6,Voyage of the Damned,1997,582,8.2
1,5,7,My Fair Frasier,1997,493,7.8
1,5,8,Desperately Seeking Closure,1997,458,7.3
4,5,9,Perspectives on Christmas,1997,618,8.6
3,5,10,Where Every Bloke Knows Your Name,1998,493,7.7
2,5,11,Ain't Nobody's Business If I Do,1998,465,7.6
3,5,12,The Zoo Story,1998,492,7.9
2,5,13,The Maris Counselor,1998,548,8.2
2,5,14,The Ski Lodge,1998,"1,305",9.6
3,5,15,Room Service,1998,742,8.9
2,5,16,Beware of Greeks,1998,567,7.5
3,5,17,The Perfect Guy,1998,583,8.1
2,5,18,Bad Dog,1998,481,7.7
2,5,19,Frasier Gotta Have It,1998,495,7.4
3,5,20,First Date,1998,620,8.7
3,5,21,Roz and the Schnoz,1998,689,8.5
2,5,22,The Life of the Party,1998,547,8.3
2,5,23,"Party, Party",1998,461,7.6
3,5,24,Sweet Dreams,1998,451,7.7
4,6,1,Good Grief,1998,500,7.8
4,6,2,Frasier's Curse,1998,471,7.6
4,6,3,Dial M for Martin,1998,640,8.7
4,6,4,Hot Ticket,1998,493,7.6
4,6,5,First Do No Harm,1998,476,7.4
4,6,6,Secret Admirer,1998,457,7.7
3,6,7,How to Bury a Millionaire,1998,526,8.2
3,6,8,The Seal Who Came to Dinner,1998,601,8.3
3,6,9,"Roz, a Loan",1998,444,7.4
4,6,10,"Merry Christmas, Mrs. Moskowitz",1998,711,8.7
3,6,11,Good Samaritan,1999,486,7.8
2,6,12,"Our Parents, Ourselves",1999,473,7.5
3,6,13,The Show Where Woody Shows Up,1999,496,7.2
3,6,14,Three Valentines,1999,852,9
2,6,15,To Tell the Truth,1999,539,8.3
2,6,16,Decoys,1999,566,8.5
1,6,17,The Dinner Party,1999,557,8.3
1,6,18,Taps at the Montana,1999,476,8
2,6,19,IQ,1999,500,8.1
3,6,20,Dr. Nora,1999,596,8.1
2,6,21,When a Man Loves Two Women,1999,475,8.1
1,6,22,Visions of Daphne,1999,526,8.4
1,6,23,Shutout in Seattle: Part 1,1999,498,8.1
2,6,24,Shutout in Seattle: Part 2,1999,537,8.5
2,7,1,Momma Mia,1999,542,8.1
1,7,2,Father of the Bride,1999,449,7.7
1,7,3,Radio Wars,1999,516,8
1,7,4,Everyone's a Critic,1999,450,7.6
1,7,5,The Dog That Rocks the Cradle,1999,435,7.6
-,7,6,Rivals,1999,462,7.7
-,7,7,A Tsar Is Born,1999,570,8.4
-,7,8,The Late Dr. Crane,1999,448,7.9
1,7,9,The Apparent Trap,1999,455,7.9
-,7,10,Back Talk,1999,602,8.8
1,7,11,The Fight Before Christmas,1999,515,8.3
-,7,12,RDWRER,2000,576,8.3
-,7,13,They're Playing Our Song,2000,539,8.2
-,7,14,Big Crane on Campus,2000,472,7.6
-,7,15,Out with Dad,2000,806,9.1
1,7,16,Something About Dr. Mary,2000,476,7.7
-,7,17,Whine Club,2000,452,7.9
-,7,18,Hot Pursuit,2000,431,7.7
-,7,19,Morning Becomes Entertainment,2000,435,7.6
-,7,20,To Thine Old Self Be True,2000,534,8.3
1,7,21,The Three Faces of Frasier,2000,449,7.7
2,7,22,Dark Side of the Moon,2000,582,8.5
1,7,23,"Something Borrowed, Someone Blue: Part 1",2000,615,8.7
1,7,24,"Something Borrowed, Someone Blue: Part 2",2000,682,9.1
1,8,1,And the Dish Ran Away with the Spoon: Part 1,2000,500,8.2
-,8,2,And the Dish Ran Away with the Spoon: Part 2,2000,535,8.4
-,8,3,The Bad Son,2000,440,7.5
-,8,4,The Great Crane Robbery,2000,435,7.4
1,8,5,Taking Liberties,2000,602,8.6
-,8,6,Legal Tender Love and Care,2000,429,7.4
2,8,7,The New Friend,2000,415,7.6
1,8,8,Mary Christmas,2000,460,7
-,8,9,Frasier's Edge,2001,493,8
-,8,10,Cranes Unplugged,2001,422,7.3
-,8,11,Motor Skills,2001,473,7.7
-,8,12,The Show Must Go Off,2001,593,8.3
-,8,13,Sliding Frasiers,2001,457,7.9
-,8,14,Hungry Heart,2001,525,8.3
1,8,15,Hooping Cranes,2001,532,8.3
-,8,16,Docu.Drama,2001,407,7.4
-,8,17,It Takes Two to Tangle,2001,404,7.3
1,8,18,Forgotten But Not Gone,2001,417,7.5
-,8,19,Daphne Returns,2001,549,8.4
-,8,20,The Wizard and Roz,2001,422,7.6
1,8,21,Semi-Decent Proposal,2001,402,7.4
1,8,22,A Passing Fancy,2001,402,7.7
-,8,23,A Day in May,2001,433,7.4
-,8,24,Cranes Go Caribbean,2001,411,7.6
-,9,1,Don Juan in Hell: Part 1,2001,431,7.5
1,9,2,Don Juan in Hell: Part 2,2001,513,8.1
-,9,3,The First Temptation of Daphne,2001,434,7.7
-,9,4,The Return of Martin Crane,2001,464,8.2
-,9,5,Love Stinks,2001,412,7.6
-,9,6,Room Full of Heroes,2001,507,8.2
-,9,7,Bla-Z-Boy,2001,533,8.4
-,9,8,The Two Hundredth,2001,433,7.7
1,9,9,Sharing Kirby,2001,398,7.2
1,9,10,Junior Agent,2001,415,7.2
1,9,11,Bully for Martin,2001,418,7.4
1,9,12,Mother Load: Part 1,2002,412,7.2
-,9,13,Mother Load: Part 2,2002,421,7
-,9,14,Juvenilia,2002,432,7.6
-,9,15,The Proposal,2002,486,8.2
-,9,16,Wheels of Fortune,2002,544,7.8
-,9,17,Three Blind Dates,2002,428,7.7
-,9,18,War of the Words,2002,458,7.3
-,9,19,Deathtrap,2002,444,7.8
-,9,20,The Love You Fake,2002,424,8
-,9,21,Cheerful Goodbyes,2002,488,7.9
-,9,22,Frasier Has Spokane,2002,393,7.4
-,9,23,The Guilt Trippers,2002,399,7.7
-,9,24,Moons Over Seattle,2002,413,7.6
-,10,1,The Ring Cycle,2002,452,8.1
-,10,2,Enemy at the Gate,2002,476,7.9
1,10,3,Proxy Prexy,2002,417,7.7
-,10,4,Kissing Cousin,2002,453,7.3
1,10,5,Tales from the Crypt,2002,460,7.8
-,10,6,Star Mitzvah,2002,559,8.3
-,10,7,Bristle While You Work,2002,405,7.4
-,10,8,Rooms with a View,2002,651,8.4
-,10,9,Don't Go Breaking My Heart,2002,392,7.7
1,10,10,We Two Kings,2002,399,7.5
-,10,11,Door Jam,2003,527,8.3
-,10,12,The Harassed,2003,408,7.3
-,10,13,Lilith Needs a Favor,2003,419,7.7
-,10,14,Daphne Does Dinner,2003,562,8.5
-,10,15,Trophy Girlfriend,2003,461,7.9
-,10,16,Fraternal Schwinns,2003,428,7.9
-,10,17,Kenny on the Couch,2003,393,7.1
-,10,18,Roe to Perdition,2003,513,8.3
1,10,19,Some Assembly Required,2003,395,7.1
1,10,20,"Farewell, Nervosa",2003,420,7.4
1,10,21,The Devil & Dr. Phil,2003,409,7.3
1,10,22,Fathers and Sons,2003,546,8.6
1,10,23,Analyzed Kiss,2003,377,7.3
1,10,24,A New Position for Roz,2003,399,7.5
1,11,1,"No Sex Please, We're Skittish",2003,448,8
1,11,2,"A Man, a Plan and a Gal: Julia",2003,468,8.1
3,11,3,The Doctor Is Out,2003,893,9.2
1,11,4,The Babysitter,2003,417,7.8
1,11,5,The Placeholder,2003,423,7.4
1,11,6,I'm Listening,2003,443,8.2
1,11,7,Maris Returns,2003,553,8.5
1,11,8,Murder Most Maris,2003,509,8.5
1,11,9,Guns 'N Neuroses,2003,488,8.3
1,11,10,Sea Bee Jeebies,2003,409,7.6
1,11,11,High Holidays,2003,600,8.7
1,11,12,Frasier-Lite,2004,420,7.5
1,11,13,The Ann Who Came to Dinner,2004,419,7.1
2,11,14,Freudian Sleep,2004,499,7
3,11,15,Caught in the Act,2004,592,8.3
2,11,16,Boo!,2004,541,8.4
1,11,17,Coots and Ladders,2004,423,7.4
1,11,18,Match Game,2004,427,7.7
1,11,19,Miss Right Now,2004,477,8.1
1,11,20,And Frasier Makes Three,2004,477,8.2
1,11,21,Detour,2004,447,7.9
1,11,22,Crock Tales,2004,442,7.8
1,11,23,"Goodnight, Seattle",2004,652,8.8
3,11,24,"Goodnight, Seattle",2004,871,9.3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
